bangla	english
একাডেমি	academy
অ্যাকাউন্ট	account
অ্যাসিড	acid
অ্যাডাপ্টার	adapter
অ্যাড্রেস	address
অ্যাডমিন	admin
অ্যাডমিশন	admission
এডমিশন	admission
ঈশপ	aesop
আফ্রিকা	africa
আগ্রা	agra
অ্যালার্ম	alarm
আলাস্কা	alaska
অ্যালবার্টা	alberta
অ্যালবাম	album
অ্যালকোহল	alcohol
আলেকজান্ডার	alexander
আলজেরিয়া	algeria
অ্যালগরিদম	algorithm
অ্যালার্জি	allergy
অ্যাম্বার	amber
আমেরিকা	america
আন্দামান	andaman
অ্যান্ড্রু	andrew
অ্যান্ড্রয়েড	android
অ্যাঙ্গোলা	angola
অ্যানিমেশন	animation
অ্যানিমে	anime
অ্যান্টার্কটিকা	antarctica
অ্যান্টেনা	antenna
অ্যান্টনি	anthony
অ্যানথ্রাক্স	anthrax
অ্যান্টিবায়োটিক	antibiotic
অ্যাপোলো	apollo
অ্যাপ	app
আপেল	apple
অ্যাপ্লিকেশন	application
এপ্রিল	april
আরাকান	arakan
আর্কাইভ	archive
আর্কটিক	arctic
আর্জেন্টিনা	argentina
অ্যারিজোনা	arizona
আর্টিকেল	article
আর্টিস্ট	artist
এশিয়া	asia
আসাম	assam
অ্যাসাইনমেন্ট	assignment
আটলান্টা	atlanta
আটলান্টিক	atlantic
অ্যাটম	atom
অডিও	audio
অডিশন	audition
অগস্ট	august
অগাষ্ট	august
অগাস্ট	august
আগষ্ট	august
আগস্ট	august
অস্ট্রেলিয়া	australia
অস্ট্রিয়া	austria
অথোরিটি	authority
অথরিটি	authority
অ্যাভোকাডো	avocado
অ্যাভাটার	avatar
ব্যাবিলন	babylon
ব্যাগ	bag
বেইল	bail
বলকান	balkan
বল	ball
বেলুন	balloon
ব্যাঙ্কক	bangkok
ব্যাংক	bank
ব্যাঙ্ক	bank
ব্যানার	banner
বাস্কেটবল	basketball
ব্যাটারি	battery
বিয়ার	beer
বেলারুশ	belarus
বেলফাস্ট	belfast
বেলগ্রেড	belgrade
বেল	bell
বেনারস	benares
বার্লিন	berlin
বাইবেল	bible
বিল	bill
বাইনারি	binary
বায়োস	bios
বিস্কুট	biscuit
ব্লগ	blog
ব্লগার	blogger
ব্লুটুথ	bluetooth
বলিউড	bollywood
বোনাস	bonus
বুকমার্ক	bookmark
বুস্টার	booster
বসনিয়া	bosnia
বস	boss
বুর্জোয়া	bourgeois
বাক্স	box
ব্রেইন	brain
ব্রেক	brake
ব্রাস	brass
ব্রাজিল	brazil
ব্রাজিলিয়ান	brazilian
ব্রেক	break
ব্রেকফাস্ট	breakfast
ব্রিস্টল	bristol
ব্রিটেন	britain
ব্রিটিশ	british
ব্রডকাস্ট	broadcast
ব্রডকাস্টার	broadcaster
ব্রোঞ্জ	bronze
ব্রাউজ	browse
ব্রাউজার	browser
ব্রাশ	brush
বাকিংহাম	buckingham
বুদাপেস্ট	budapest
বাজেট	budget
বাল্ব	bulb
বুলেট	bullet
বাম্পার	bumper
বার্গার	burger
বার্মা	burma
বাস	bus
বুসান	busan
বাটন	button
বাইট	byte
কেবল	cable
ক্যাশ	cache
কায়রো	cairo
কেক	cake
ক্যালকুলেটর	calculator
ক্যালগারি	calgary
ক্যালিফোর্নিয়া	california
কেমব্রিজ	cambridge
ক্যামেরা	camera
ক্যাম্পাস	campus
কানাডা	canada
ক্যান্সার	cancer
ক্যান্ডি	candy
ক্যাপসুল	capsule
কার	car
কার্বোহাইড্রেট	carbohydrate
কার্বন	carbon
কার্ড	card
কার্ডিয়াক	cardiac
কার্ডিফ	cardiff
কার্ডিওলজিস্ট	cardiologist
কার্ডিওলজি	cardiology
ক্যারাম	carom
ক্যাশ	cash
ক্যাস্টার	caster
ক্যাস্টর	castor
ক্যাট	cat
সিডি	cd
সেন্টার	center
সেন্টিমিটার	centimeter
সেন্টিমিটার	centimetre
সেন্টার	centre
সার্টিফিকেট	certificate
চেয়ার	chair
চ্যানেল	channel
চার্জার	charger
চার্লস	charles
চার্ট	chart
চ্যাট	chat
চ্যাটার্জী	chatterjee
চেক	check
চেকলিস্ট	checklist
কেমিক্যাল	chemical
কেমিস্ট	chemist
কেমিস্ট্রি	chemistry
চেক	cheque
চিমনি	chimney
চকলেট	chocolate
চকোলেট	chocolate
খ্রিস্টান	christian
ক্রোম	chrome
চার্চ	church
সিগারেট	cigarette
সিনেমা	cinema
সিনেমাটোগ্রাফার	cinematographer
সিনেমাটোগ্রাফি	cinematography
সিটি	city
ক্লাস	class
ক্লাসিক	classic
ক্লাসিকাল	classical
ক্লাসরুম	classroom
ক্লিন	clean
ক্লিনিক	clinic
ক্লিপবোর্ড	clipboard
ক্লোন	clone
ক্লাউড	cloud
ক্লাব	club
সিএনজি	cng
কোস্টার	coaster
কোড	code
কোডিং	coding
কফি	coffee
কালেকশন	collection
কালেক্টিভ	collective
কলেজ	college
কালার	color
কালার	colour
কমিশন	commission
কোম্পানি	company
কম্পাস	compass
কমপ্লিট	complete
কমপ্লেক্স	complex
কম্প্রেশন	compression
কম্পিউটার	computer
কম্পিউটিং	computing
কংক্রিট	concrete
কন্ডিশনার	conditioner
কনফিগ	config
কনফিগারেশন	configuration
কংগ্রেস	congress
কানেকশন	connection
কানেক্টিভিটি	connectivity
কনস্টান্টিনোপল	constantinople
কন্ট্রাক্ট	contract
কন্ট্রোল	control
কনভেনশন	convention
কুকি	cookie
কোঅপারেটিভ	cooperative
কপি	copy
করোনা	corona
করোনাভাইরাস	coronavirus
কোর্স	course
কোর্ট	court
ক্রাফট	craft
ক্রিম	cream
ক্রীম	cream
ক্রেডিট	credit
ক্রিকেট	cricket
ক্রিটিক	critic
ক্রিপ্টো	crypto
ক্রিস্টাল	crystal
ক্রিস্টালোগ্রাফি	crystallography
কার্সর	cursor
সাইক্লোন	cyclone
ডালিয়া	dahlia
দামাস্কাস	damascus
ডেটা	data
ডেটাবেস	database
ডেভিড	david
ডিবাগ	debug
ডিসেম্বর	december
ডিক্রি	decree
ডিফেন্ডার	defender
ডিফেন্স	defense
ডিগ্রি	degree
ডিপার্টমেন্ট	department
ডিপ্রেশন	depression
ডেস্ক	desk
ডেস্কটপ	desktop
ডিটেক্টর	detector
ডিভাইস	device
ডিকশনারি	dictionary
ডিকশনারী	dictionary
ডিজিটাল	digital
ডাইঅক্সাইড	dioxide
ডিপ্লোমা	diploma
ডিস্কো	disco
ডিস্কোগ্রাফি	discography
ডিসপ্লে	display
ডিস্ট্রিক্ট	district
ডাক্তার	doctor
ডকুমেন্ট	document
ডলার	dollar
ডলফিন	dolphin
ডোমেইন	domain
ডোনাট	donut
ডবল	double
ডাউনলোড	download
ড্রাইভ	drive
ড্রাইভার	driver
ডুওডেনাম	duodenum
দুরিয়ান	durian
ডিভিডি	dvd
ঈগল	eagle
ইস্টার	easter
ইস্টার্ন	eastern
এডিনবরা	edinburgh
এডিট	edit
এডিটর	editor
এডমন্টন	edmonton
ইফেক্ট	effect
ইলেকশন	election
ইলেক্ট্রোম্যাগনেটিক	electromagnetic
ইলেকট্রন	electron
ইমেইল	email
ইমোজি	emoji
এনক্রিপ্ট	encrypt
এনক্রিপশন	encryption
ইঞ্জিন	engine
ইঞ্জিনিয়ার	engineer
ইঞ্জিনিয়ারিং	engineering
ইংল্যান্ড	england
এন্ট্রান্স	entrance
এন্ট্রি	entry
এপিটাফ	epitaph
এথিক্স	ethics
ইউরেশিয়া	eurasia
ইউরো	euro
ইউরোপ	europe
এক্সাম	exam
এক্সক্লুসিভ	exclusive
এক্সিবিশন	exhibition
এক্সপোর্ট	export
ফেসবুক	facebook
ফ্যাকাল্টি	faculty
ফ্যান	fan
ফ্যাশন	fashion
ফেভারিট	favorite
ফেভারিট	favourite
ফেব্রুয়ারি	february
ফেডারাল	federal
ফেডারেশন	federation
ফিডব্যাক	feedback
ফেমিনিস্ট	feminist
ফেন্ডার	fender
ফিল্ড	field
ফিল্ডার	fielder
ফাইল	file
ফিল্ম	film
ফিল্টার	filter
ফাইনালিস্ট	finalist
ফিনল্যান্ড	finland
ফ্ল্যাগ	flag
ফ্লাশ	flash
ফ্ল্যাট	flat
ফ্লপি	floppy
ফ্লোরেন্স	florence
ফ্লোরিডা	florida
ফ্লুরাইড	fluoride
ফ্লাক্স	flux
ফোল্ডার	folder
ফুটবল	football
ফুটপাথ	footpath
ফরেস্ট্রি	forestry
ফর্ম	form
ফরম্যাট	format
ফোরাম	forum
ফাউন্ডেশন	foundation
ফ্রেমওয়ার্ক	framework
ফ্রেশ	fresh
ফ্রিজ	fridge
ফ্রেন্ডশিপ	friendship
ফ্রুট	fruit
গ্যালারি	gallery
গেম	game
গ্যারেজ	garage
গ্যাস	gas
জেনেটিক	genetic
জেনেটিক্স	genetics
জিনোমিক্স	genomics
জার্মান	german
জার্মানি	germany
গিজার	geyser
জিব্রাল্টার	gibraltar
গিগাবাইট	gigabyte
গিট	git
গিটহাব	github
গ্লাস	glass
গ্লোবাল	global
গ্লোব	globe
গোয়া	goa
গোল	goal
গোল্ডফিশ	goldfish
গুগল	google
গ্রাম	gram
গ্রামার	grammar
গ্রাফ	graph
গ্রাফিক	graphic
গ্রাফিকাল	graphical
গ্রাফিক্স	graphics
গ্রাফাইট	graphite
গ্রিস	greece
গ্রিক	greek
গ্রিন	green
গ্রীন	green
গ্রিনহাউস	greenhouse
গ্রিল	grill
গ্রুপ	group
গিটার	guitar
গিটারিস্ট	guitarist
গুজরাট	gujarat
গায়ানা	guyana
জিমনাস্টিক	gymnastic
জিমনাস্টিকস	gymnastics
হল	hall
হ্যানয়	hanoi
হার্ডওয়্যার	hardware
হার্ভার্ড	harvard
হ্যাশ	hash
হেডমাস্টার	headmaster
হেডফোন	headphone
হার্ট	heart
হিব্রু	hebrew
হেলিকাপ্টার	helicopter
হ্যালো	hello
হেনা	henna
হেপাটাইটিস	hepatitis
হিউরিস্টিক	heuristic
হিটলার	hitler
হকি	hockey
হোমপেজ	homepage
হরমোন	hormone
হসপিটাল	hospital
হাসপাতাল	hospital
হোটেল	hotel
হটস্পট	hotspot
হিউস্টন	houston
হিউম্যানিস্ট	humanist
হান্টার	hunter
হাইড্রোলিক	hydraulic
হাইড্রোজেন	hydrogen
হাইপারটেনশন	hypertension
হাইপারটেক্সট	hypertext
হাইপোথ্যালামাস	hypothalamus
আইসল্যান্ড	iceland
আইকন	icon
আইডেনটিটি	identity
ইমেজ	image
ইমিগ্রেশন	immigration
ইনবক্স	inbox
ইন্ডিয়া	india
ইন্ডিকেটর	indicator
ইন্দোনেশিয়া	indonesia
ইনফিনিটি	infinity
ইনফ্লুয়েঞ্জা	influenza
ইনফ্রারেড	infrared
ইনজেকশন	injection
ইনপুট	input
ইনস্টল	install
ইনস্টিটিউট	institute
ইনস্টিটিউশনাল	institutional
ইনসুলেটর	insulator
ইনসুলিন	insulin
ইন্টারেস্ট	interest
ইন্টার্ন	intern
ইন্টারনেট	internet
ইন্টার্নশিপ	internship
ইরান	iran
আয়ারল্যান্ড	ireland
ইসরায়েল	israel
ইস্তাম্বুল	istanbul
জ্যাকেট	jacket
জ্যাকসন	jackson
জাম	jam
জ্যাম	jam
জানুয়ারি	january
জাপান	japan
জেসমিন	jasmine
জাভা	java
জিন্স	jeans
জেফারসন	jefferson
যিহোবা	jehovah
জেরুসালেম	jerusalem
জন	john
জজ	judge
জগ	jug
জুলাই	july
জংশন	junction
জাঙ্কশন	junction
জুন	june
কাজাখস্তান	kazakhstan
কেরোসিন	kerosene
কেটলি	kettle
কিবোর্ড	keyboard
কীবোর্ড	keyboard
কীস্ট্রোক	keystroke
কিডনি	kidney
কিলোবাইট	kilobyte
কিলোগ্রাম	kilogram
কিলোমিটার	kilometer
কিলোমিটার	kilometre
কিংস্টন	kingston
কোরিয়া	korea
কিরগিজস্তান	kyrgyzstan
লাদাখ	ladakh
লন্ঠন	lantern
ল্যাপটপ	laptop
লেজার	laser
লন্ড্রি	laundry
লাভা	lava
লীগ	league
লেকচার	lecture
লেজিসলেটিভ	legislative
লেমনেড	lemonade
লেনিন	lenin
লেসবিয়ান	lesbian
লেটার	letter
এলজিবিটি	lgbt
লাইব্রেরি	library
লাইসেন্স	licence
লাইসেন্স	license
লাইফস্টাইল	lifestyle
লিফট	lift
লাইটার	lighter
লিংক	link
লিঙ্ক	link
লিনাক্স	linux
লিপস্টিক	lipstick
লিটার	liter
লিটার	litre
লিভারপুল	liverpool
লোকেশন	location
লকার	locker
লগ	log
লগইন	login
লগআউট	logout
লন্ডন	london
লোশন	lotion
লাউডস্পিকার	loudspeaker
লাঞ্চ	lunch
মাকাও	macao
মাদাগাস্কার	madagascar
ম্যাডাম	madam
মাদ্রাজ	madras
ম্যাজেন্টা	magenta
মালয়	malay
মালয়েশিয়া	malaysia
মালদ্বীপ	maldives
ম্যানেজার	manager
মার্চ	march
মার্কেট	market
মার্কেটিং	marketing
মাস্কারা	mascara
মাস্টার	master
মাস্টারপিস	masterpiece
ম্যাচ	match
মরিশাস	mauritius
মে	may
মিডিয়া	media
মেডিসিন	medicine
মীরাট	meerut
মেগাবাইট	megabyte
মেলানেশিয়া	melanesia
মেমোরি	memory
মেসেজ	message
মিটার	meter
মিথেন	methane
মিটার	metre
মেট্রো	metro
মেক্সিকো	mexico
মাইক	mic
মাইক্রো	micro
মাইক্রোনেশিয়া	micronesia
মাইক্রোফোন	microphone
মাইক্রোস্কোপ	microscope
মাইক্রোসফট	microsoft
মাইগ্রেইন	migraine
মাইগ্রেন	migraine
মিলিমিটার	millimeter
মিলিমিটার	millimetre
মিনিস্টার	minister
মাইনাস	minus
মিনিট	minute
মিশন	mission
মব	mob
মোবাইল	mobile
মোবিলিটি	mobility
মডেল	model
মডেম	modem
মডিউল	module
মনিটর	monitor
মনোক্সাইড	monoxide
মস্কো	moscow
মাদারবোর্ড	motherboard
মোশন	motion
মটর	motor
মোটর	motor
মাউস	mouse
মুভি	movie
মগ	mug
মমি	mummy
মিউজিক	music
মিয়ানমার	myanmar
নাগাল্যান্ড	nagaland
নেটিভ	native
ন্যাটো	nato
নেগেটিভ	negative
নেপচুন	neptune
নেটওয়ার্ক	network
নেটওয়ার্কিং	networking
নিউজ	news
নিকোবর	nicobar
নিকোটিন	nicotine
নাইট্রেট	nitrate
নাইট্রিক	nitric
নাইট্রোজেন	nitrogen
নোটেশন	notation
নোটিফিকেশন	notification
নভেল	novel
নভেম্বর	november
নিউক্লিওটাইড	nucleotide
নিউক্লিয়াস	nucleus
নম্বর	number
নিউট্রিশন	nutrition
ওশেনিয়া	oceania
অক্টোবর	october
অক্টোপাস	octopus
অফিস	office
অফলাইন	offline
ওহাইও	ohio
অনলাইন	online
অন্টারিও	ontario
অপারেশন	operation
অপটিক	optic
অপটিকাল	optical
অপটিক্স	optics
অপশন	option
অর্কেস্ট্রা	orchestra
অরিজিনাল	original
অস্কার	oscar
আউটসোর্সিং	outsourcing
ওভারফ্লো	overflow
ওভারভিউ	overview
অক্সফোর্ড	oxford
অক্সিডেশন	oxidation
অক্সাইড	oxide
অক্সিজেন	oxygen
ওজোন	ozone
প্যাকেজ	package
প্যালেস্টাইন	palestine
পার্সেল	parcel
প্যারিস	paris
পার্কিং	parking
পার্টি	party
পাসপোর্ট	passport
পাসওয়ার্ড	password
পেস্ট	paste
পেট্রোল	petrol
পেট্রোলিয়াম	petroleum
ফার্মাসিউটিকাল	pharmaceutical
ফার্মাসিস্ট	pharmacist
ফার্মাকোলজি	pharmacology
ফিলিপাইন	philippines
ফোন	phone
ফোনোগ্রাফ	phonograph
ফটো	photo
ফটোগ্রাফ	photograph
ফটোগ্রাফি	photography
ফিজিক্স	physics
পিয়ানো	piano
পিজা	pizza
প্লেগ	plague
প্লেইন	plane
প্লেন	plane
প্লাজমা	plasma
প্লাস্টার	plaster
প্লাস্টিক	plastic
প্লেটলেট	platelet
প্ল্যাটফর্ম	platform
প্লাটিনাম	platinum
পল্টন	platoon
প্লেলিস্ট	playlist
প্লিজ	please
প্লীজ	please
প্লাগইন	plugin
প্লুটো	pluto
পকেট	pocket
পুলিশ	police
পলিসি	policy
পলিটিক্স	politics
পলিনেশিয়া	polynesia
পোর্ট	port
পোর্ট্রেট	portrait
পোস্ট	post
পোস্টকার্ড	postcard
পোস্টার	poster
পোস্টমাস্টার	postmaster
পোস্টস্ক্রিপ্ট	postscript
প্রেসক্রিপশন	prescription
প্রেস	press
প্রেসার	pressure
প্রিভিউ	preview
প্রিন্টার	printer
প্রব্লেম	problem
প্রসেসর	processor
প্রোডাক্ট	product
প্রোগ্রাম	program
প্রোগ্রাম	programme
প্রোগ্রামড	programmed
প্রোগ্রামার	programmer
প্রোগ্রামিং	programming
প্রজেক্ট	project
প্রজেক্টাইল	projectile
প্রোপাগান্ডা	propaganda
প্রোস্টেট	prostate
প্রোটিন	protein
প্রোটন	proton
প্রোটোটাইপ	prototype
প্রক্সি	proxy
পাবলিকেশন	publication
পুডিং	pudding
পিথাগোরাস	pythagoras
পাইথন	python
কুইবেক	quebec
রেডিও	radio
রেল	rail
রেইল	rail
র‍্যাম	ram
র‍্যান্ডম	random
রাস্টার	raster
রিঅ্যাকশন	reaction
রিএকশন	reaction
রিঅ্যাক্টর	reactor
রিএক্টর	reactor
রেবেকা	rebecca
রেকর্ড	record
রিফ্লেক্স	reflex
রেজিস্টার	register
রেজিস্ট্রার	registrar
রেজিস্ট্রেশন	registration
রেজিস্ট্রি	registry
রিলিজ	release
রিপোর্ট	report
রিপোর্টার	reporter
রিপোজিটরি	repository
রেজল্যুশন	resolution
রেস্টুরেন্ট	restaurant
রেজাল্ট	result
রেটিনা	retina
রেটিনাল	retinal
রিটার্ন	return
রেভোলুশন	revolution
রাইনল্যান্ড	rhineland
রিকশা	rickshaw
রিংমাস্টার	ringmaster
রোবট	robot
রম	rom
রোমান	roman
রোমান্টিক	romantic
রোম	rome
রাউটার	router
রবার	rubber
রাসেল	russell
রাশিয়া	russia
সাবরিনা	sabrina
সালাদ	salad
সেলুন	saloon
সস	sauce
স্ক্যানার	scanner
স্কার্ফ	scarf
শিডিউল	schedule
স্কুল	school
স্কুটার	scooter
স্কটল্যান্ড	scotland
স্কাউট	scout
স্ক্রিন	screen
স্ক্রীন	screen
স্ক্রিনশট	screenshot
স্ক্রু	screw
স্ক্রিপ্ট	script
স্ক্রল	scroll
স্ক্রোল	scroll
স্কুবা	scuba
সিট	seat
সেকেন্ড	second
সেকশন	section
সেক্টর	sector
সিকিউরিটি	security
সিলেকশন	selection
সেমিস্টার	semester
সেমিনার	seminar
সেমিটিক	semitic
সেপ্টেম্বর	september
সিরিয়াল	serial
সার্ভার	server
সেশন	session
সেটিং	setting
সেটিংস	settings
সেক্স	sex
শ্যাম্পু	shampoo
শার্পশুটার	sharpshooter
শেল্টার	shelter
শার্ট	shirt
শুটিং	shooting
শর্টকাট	shortcut
সাইনইন	signin
সাইনআপ	signup
সিলিকন	silicon
সিম	sim
সিংগাপুর	singapore
সিঙ্গাপুর	singapore
স্যার	sir
সিস্টার	sister
স্কেট	skate
স্কাইপ	skype
স্লাইড	slide
স্লোগান	slogan
স্লোভাক	slovak
স্মার্ট	smart
স্মার্টফোন	smartphone
স্ন্যাপশট	snapshot
সকার	soccer
সোফা	sofa
সফটওয়্যার	software
সফ্টওয়্যার	software
সোমালিয়া	somalia
সুপ	soup
সোর্স	source
সোভিয়েত	soviet
স্পেসক্রাফট	spacecraft
স্পেন	spain
স্প্যাম	spam
স্পিকার	speaker
স্পেশালিস্ট	specialist
স্পোর্টস	sports
স্প্রেডশিট	spreadsheet
স্প্রিং	spring
স্টেডিয়াম	stadium
স্তালিন	stalin
স্টাম্প	stamp
স্টার্টার	starter
স্টার্টআপ	startup
স্টেট	state
স্টেটস	states
স্টেশন	station
স্টিমার	steamer
স্টিল	steel
স্টেরিও	stereo
স্টেরিওটাইপ	stereotype
স্টিক	stick
স্টিকি	sticky
স্টোর	store
স্ট্রিম	stream
স্ট্রিট	street
স্ট্রিং	string
স্ট্রাকচারাল	structural
স্টুডিও	studio
স্টাইলিস্ট	stylist
সাবস্ক্রাইব	subscribe
সাবস্ক্রাইবার	subscriber
সাফিক্স	suffix
সুগার	sugar
সালফেট	sulfate
সালফাইড	sulfide
সমন	summons
সাপ্লিমেন্ট	supplement
সার্জারি	surgery
সুরিনাম	suriname
সাসপেনশন	suspension
সুইফট	swift
সুইজারল্যান্ড	switzerland
সিলেট	sylhet
সিলেবাস	syllabus
সিন্ডিকেটেড	syndicated
সিন্ডিকেশন	syndication
সিস্টেম	system
টেবিল	table
ট্যাবলেট	tablet
তাইপে	taipei
তাইওয়ান	taiwan
ট্যান্ডেম	tandem
ট্যাক্স	tax
ট্যাক্সি	taxi
টিম	team
টেকনোলজি	technology
টেলিগ্রাম	telegram
টেলিগ্রাফ	telegraph
টেলিফোন	telephone
টেলিস্কোপ	telescope
টেলিভিশন	television
টেমপ্লেট	template
টেনিস	tennis
টেনশন	tension
টেরাবাইট	terabyte
টার্মিনাল	terminal
টার্মিনাস	terminus
টেস্টার	tester
টেক্সটবুক	textbook
টেক্সটাইল	textile
থাইল্যান্ড	thailand
টেমস	thames
টেম্‌স	thames
থেরাপিস্ট	therapist
থার্মোমিটার	thermometer
থ্রেড	thread
টিকিট	ticket
টাইল	tile
টিন	tin
টিন্ডার	tinder
টমেটো	tomato
টম্যাটো	tomato
টন	ton
টুল	tool
টরন্টো	toronto
টুর্নামেন্ট	tournament
টাউন	town
ট্রেডমার্ক	trademark
ট্রেইন	train
ট্রেন	train
ট্রেনিং	training
ট্রান্সক্রিপ্ট	transcript
ট্রান্সক্রিপশন	transcription
ট্রানজিস্টার	transistor
ট্রান্সমিশন	transmission
ট্রান্সমিটার	transmitter
ট্রান্সপোর্ট	transport
ট্রাইব্যুনাল	tribunal
ট্রিটিয়াম	tritium
ট্রোল	troll
